authors,title,pdf_file
J. Rosell; G. Bel (Univeristy of Barcelona),Effects of the 80 km/h and variable speed limits on air pollution in the metropolitan area of Barcelona,ABS9_Rosell_Bel.pdf
"T.H, Arimura (Waseda University); K. Iwata (Takasaki City University of Economics); S. Matsumoto (Aoyama Gakuin University)",How much greenhouse gas did hybrid-vehicle drivers save?: Analysis of Japanese used market data,ABS15_Arimura_Iwata_Matsumoto.pdf
"I. Tikoudis; E.T. Verhoef; J.N. van Ommeren (VU university Am,sterdam, Tinbergen Institute)",Optimal road pricing and revenue recycling in urban networks wuth distorted land and labor markets: a model tailored for the area of Randstadt,ABS21_Tikoudis_Verhoef_vanOmmeren.pdf
M. Moyo Oliveros; K. Nagel (TU Berlin),Automatic calibration of agent-based public transit assignment path choice to count data,ABS24_Moyo-Oliveros_Nagel.pdf
D. Boyce (Northwestern University); J. Xie (Tongji University),Assigning user class link and route flows uniquely,ABS25_Boyce_Xie.pdf
M. Fosgerau; S. Mabit (TU Denmark),Easy and flexible mixture distribution,ABS26_Fosgerau_Mabit.pdf
R. Seign; M. Schüssler; K. Bogenberger (Munich University of Federal Armed Forces),Modeling the business/operating areas of free-floating carsharing systems,ABS27_Seign_Schuessler_Bogenberger.pdf
O. Cats; Z. Gkioulou (KTH Stockholm),Evaluating the impact of waiting time uncertainty on passengers' decisions,ABS28_Cats_Gkioulou.pdf
P.C. Melo; D.J. Graham (Imperial College London),Transport-induced agglomeration effects: Evidence for metropolitan statistical areas in the US,ABS30_Melo_Graham.pdf
R. Brage-Ardao; D.J. Graham; P.C. Melo (Imperial College London),Measuring the impact of high-speed rail on economic performance: evidence for the Madrid-Barcelona corridor,ABS32_Brage-Ardao_Graham_Melo.pdf
D.J. Graham Imperial College London),Quantifying the impact of road network capacity expansion on congestion and productivity via a mixed model generalized propensity score estimator,ABS34_Graham.pdf
"G. de Jong (Significance, ITS Leeds, CTS Stockholm)",Use of internet panels versus en-route recruitment in valur-of-time estimation,ABS36_deJong.pdf
R. Püschel (TU Dresden),Public transit in Los Angeles - Accessibility and its role concerning socio-economic inequality,ABS38_Puschel.pdf
S.I. Guler; M. Menendez (ETHZ Zurich),Providing bus priority at signalized intersections using additional signals,ABS40_Guler_Menendez.pdf
A. Obermeyer (TU Dresden),Thresholds in choice behaviour and small travel time savings,ABS43_Obermeyer.pdf
K. Kottenhoff (KTH Stockholm); J. Sundström (Trafikverket),How driving style affect bus & metro passengers' assessments of comfort,ABS46_Kottenhoff_Sundstrom.pdf
T. Stojanovski (KTH Stockholm),The aggregated approach in transport research: a morphological discourse on transports and cities,ABS47_Stojanovski.pdf
D. Ngoduy (University of Leeds),Platoon based macroscopic intelligent traffic model,ABS48_Ngoduy.pdf
M. Fellendorf; U. Radl; M. Haberl (Graz Univeristy of Technology),Environmental assessment of signalized arterials based on GPS-trajectories,ABS52_ Fellendorf_Radl__Haberl.pdf
C. Teye-Ali; P. Davidson (KTH Stockholm),New algorithms for generating balanced efficient stated preference designs,ABS56_Teye-Ali_Davidson.pdf
L. Schiffmann; J. Ortigosa; M. Menendez (ETHZ Zurich),Measuring the MFD of Zurich - identifying and evaluating strategies for efficient fixed monitoring resources,ABS57_Schiffmann_Ortigosa_Menendez.pdf
P. Davidson; C. Teye-Ali; R. Culley (Peter Davidson Consultancy),A comparison of different methods of modelling long distance highway demand for toll roads and their effect on the revenue forecasts,ABS58_Davidson_Teye.Ali_Culley.pdf
Y. Xiao; D. Fukuda (Tokyo University),Identifying the distribution of value of travel time with a monotonic nonparametric estimator,ABS60_Xiao_Fukuda.pdf
N. Prameswari; C.G. Prato; O.A. Nielsen (TU Denmark),Value of time variain and socioeconomic attributes in car route choice models,ABS61_Prameswari_Prato_Nielsen.pdf
"F. Ramjerdi (Institute of Transport Economics, Oslo); J. Knockaert (Free University of Amsterdam)",Heterogeneity of preferences for infrastructure and services among cyclists and pedestrians,ABS63_Ramjerdi_Knockaert.pdf
T. Seo; T. Kusakabe; Y. Asakura (Tokyo Institute of Technology),Traffic flow monitoring utilizing on-vehicle devices of spacing measurement,ABS65_Seo_Kusakabe_Asakura.pdf
S. Luechinger; F. Roth; (University of Lucerne),Effects of a mileage tax for trucks,ABS71_Luechinger_Roth.pdf
K. Halldórsdóttir; O.A. Nielsen; C.G. Prato (TU Denmark),"Bicycle route choice model for the greater Copenhagen area, Denmark - based on GPS observations",ABS72_Halldorsdottir_Nielsen_Prato.pdf
R. Evers; S. Proost (KU Leuven),The economics of intersections,ABS75_Evers_Proost.pdf
G.E. Cantarella; S. de Luca (Univeristy opf Salerno; M. Di Gragi (University of Messina); R. Du Pace (University of Salerno),Internal vs. External approaches for stochastic equilibrium assignment with variable demand,ABS77_Cantarella_deLuca_diGrangi_diPace.pdf
P. Seetharaman; D. Watling; Ch. Balijepalli (University of Leeds),Modelling the impact of unreliability on passenger's strategy choice in public transport networks-utilising the hyperpath concept,ABS78_Seetharaman_Watling_Balijepalli.pdf
"D. Efthymiou (EPFL Lausanne, National Technical University of Athens); B. Farooq ; M. Bierlaire (EPFL); C. Antoniou (National Technical University of Athens)",A multidimensional analysis of agent-based policy evaluation  indicators,ABS82_Efthymiou_Farooq_Bierlaire_Antoniou.pdf
"E-S. Smits (TU Delft, The Univeristy of Sydney); M. Bliemer (The University of Sydney); A. Pel; B. van Arem (TU Delft)",Family of macroscopic node models,ABS83_Smits_Bliemer_Pel_vanArem.pdf
M.K. Anderson; O.A. Nielsen; C.G. Prato (TU Denmark),Multimodal route choice model of public transport passengers in the greater Copenhagen area,ABS86_Anderson_Nielsen_Prato.pdf
Ch. Raux; T-Y. Ma; R. Lemoy; N. Ovtracht (CNRS and University of Lyon),A LUTI agent-based model of Lyon area: welfare analysis of some scenarios,ABS89_Raux_Ma_Lemoy_Ovtracht.pdf
M. Bockarjova; J.S.A. Knockaert; P. Reitveld; L. Steg,Consumer heterogeneity in adopting electric vehicles: A latent class approach,ABS91_Bockarjova_Knockaert_Rietvelt_Steg.pdf
K. Svenson (Dalarna University),Modelling lefetimes in the Swedish paved raod network with time-to-event analysis,ABS92_Svenson.pdf
